T,T2
0.00247,0.00753
0.00463,0.00966
0.00463,0.00966
0.00835,0.01337
0.00835,0.01337
0.01381,0.01882
0.01381,0.01882
0.01421,0.01913
0.01421,0.01913
0.02008,0.02514
0.00754,0.01260
0.00967,0.01470
0.00967,0.01470
0.01338,0.01840
0.01338,0.01840
0.01883,0.02384
0.01883,0.02384
0.01914,0.02406
0.01914,0.02406
0.02515,0.03021
0.01261,0.01767
0.01471,0.01974
0.01471,0.01974
0.01841,0.02343
0.01841,0.02343
0.02385,0.02886
0.02385,0.02886
0.02407,0.02899
0.02407,0.02899
0.03022,0.03528
0.01768,0.02274
0.01975,0.02478
0.01975,0.02478
0.02344,0.02846
0.02344,0.02846
0.02887,0.03388
0.02887,0.03388
0.02900,0.03392
0.02900,0.03392
0.03529,0.04035
